"county_name","settlement","gender","age_group","p_active_emp","p_active_unemp","p_inactive_edu","p_inactive_homemaker","p_inactive_incomeNojob","p_inactive_other","p_not_stated","p_total","emp_ratio"
"گرگان","شهري","مرد","10-14",57,7,12361,16,1,261,2,12705,0.00448642266824085
"گرگان","شهري","مرد","15-19",1148,292,9747,33,8,905,6,12139,0.09457121673943487
"گرگان","شهري","مرد","20-24",3526,1996,5693,49,27,2032,11,13334,0.26443677816109196
"گرگان","شهري","مرد","25-29",11176,3554,2025,59,54,1037,10,17915,0.6238347753279375
"گرگان","شهري","مرد","30-34",15532,2543,898,70,97,1470,13,20623,0.7531396983949958
"گرگان","شهري","مرد","35-39",14729,1292,516,48,115,417,11,17128,0.859936945352639
"گرگان","شهري","مرد","40-44",12561,669,293,39,206,187,7,13962,0.8996562097120756
"گرگان","شهري","مرد","45-49",11019,265,218,36,869,106,10,12523,0.8799009821927654
"گرگان","شهري","مرد","50-54",7482,151,77,29,2651,52,5,10447,0.7161864650138796
"گرگان","شهري","مرد","55-59",5030,67,51,29,3193,21,6,8397,0.5990234607597952
"گرگان","شهري","مرد","60-64",2271,27,14,34,3473,2,1,5822,0.3900721401580213
"گرگان","شهري","مرد","65+",1238,25,2,82,5996,1950,9,9302,0.13308965813803483
"گرگان","شهري","زن","10-14",33,4,11813,140,1,129,0,12120,0.0027227722772277226
"گرگان","شهري","زن","15-19",253,135,9546,1637,4,634,3,12212,0.020717327219128726
"گرگان","شهري","زن","20-24",710,1070,6796,5200,7,942,1,14726,0.04821404318891756
"گرگان","شهري","زن","25-29",3136,2116,2488,10950,41,486,2,19219,0.16317186117904156
"گرگان","شهري","زن","30-34",4146,1450,1390,13699,85,1052,6,21828,0.18993952721275426
"گرگان","شهري","زن","35-39",4079,705,664,11496,116,389,0,17449,0.23376697805031807
"گرگان","شهري","زن","40-44",2900,249,280,9402,167,757,4,13759,0.2107711316229377
"گرگان","شهري","زن","45-49",2326,113,140,8490,356,385,3,11813,0.19690171844578008
"گرگان","شهري","زن","50-54",1379,58,45,7727,759,82,2,10052,0.1371866295264624
"گرگان","شهري","زن","55-59",664,14,16,6043,1347,31,2,8117,0.0818036220278428
"گرگان","شهري","زن","60-64",333,3,3,4262,1310,11,2,5924,0.056212018906144495
"گرگان","شهري","زن","65+",343,1,0,6516,2208,511,8,9587,0.03577761552101805
"گرگان","روستايي","مرد","10-14",45,4,4009,17,1,214,1,4291,0.010487065951992542
"گرگان","روستايي","مرد","15-19",930,126,2209,23,5,519,41,3853,0.24137036075785104
"گرگان","روستايي","مرد","20-24",2036,941,791,17,17,851,278,4931,0.4128979922936524
"گرگان","روستايي","مرد","25-29",4141,1160,267,20,12,388,495,6483,0.6387474934443931
"گرگان","روستايي","مرد","30-34",5007,659,94,19,24,138,591,6532,0.7665339865278629
"گرگان","روستايي","مرد","35-39",4361,176,44,11,31,33,497,5153,0.8463031243935571
"گرگان","روستايي","مرد","40-44",3891,75,39,10,47,43,299,4404,0.8835149863760218
"گرگان","روستايي","مرد","45-49",3106,32,17,12,123,15,182,3487,0.8907370232291368
"گرگان","روستايي","مرد","50-54",2336,23,7,13,295,3,102,2779,0.8405901403382512
"گرگان","روستايي","مرد","55-59",1926,15,2,11,393,2,66,2415,0.7975155279503106
"گرگان","روستايي","مرد","60-64",1271,11,0,12,398,0,27,1719,0.7393833624200117
"گرگان","روستايي","مرد","65+",1074,11,1,52,877,1418,21,3454,0.3109438332368269
"گرگان","روستايي","زن","10-14",16,5,3857,183,0,137,2,4200,0.0038095238095238095
"گرگان","روستايي","زن","15-19",156,65,1839,1215,3,223,3,3504,0.04452054794520548
"گرگان","روستايي","زن","20-24",210,227,723,2700,4,260,15,4139,0.05073689296931626
"گرگان","روستايي","زن","25-29",604,304,226,4254,6,96,12,5502,0.10977826245001818
"گرگان","روستايي","زن","30-34",652,188,105,4620,8,90,15,5678,0.11482916519901373
"گرگان","روستايي","زن","35-39",568,91,47,3851,11,71,26,4665,0.1217577706323687
"گرگان","روستايي","زن","40-44",454,42,22,3365,16,70,10,3979,0.11409901985423473
"گرگان","روستايي","زن","45-49",384,20,5,2747,29,29,9,3223,0.11914365497983245
"گرگان","روستايي","زن","50-54",308,10,1,2572,59,16,5,2971,0.10366879838438237
"گرگان","روستايي","زن","55-59",280,1,1,2040,91,5,6,2424,0.11551155115511551
"گرگان","روستايي","زن","60-64",202,1,1,1672,102,2,3,1983,0.10186585980837115
"گرگان","روستايي","زن","65+",216,0,3,2815,337,460,4,3835,0.056323337679269884
